date,open,high,low,close,volume
2025-12-23T13:30:00.000000000,975.0,975.15,974.7,974.75,33833.0
2025-12-23T13:35:00.000000000,974.75,975.05,974.1,975.0,45817.0
2025-12-23T13:40:00.000000000,975.0,975.1,974.3,974.45,20998.0
2025-12-23T13:45:00.000000000,974.5,974.85,974.4,974.75,24696.0
2025-12-23T13:50:00.000000000,974.7,974.8,974.0,974.25,36593.0
2025-12-23T13:55:00.000000000,974.25,974.95,974.1,974.75,44140.0
2025-12-23T14:00:00.000000000,974.7,975.0,974.0,974.55,55069.0
2025-12-23T14:05:00.000000000,974.55,974.55,973.9,974.15,27812.0
2025-12-23T14:10:00.000000000,974.05,974.3,973.95,974.1,30831.0
2025-12-23T14:15:00.000000000,974.1,975.05,974.05,974.8,140481.0
2025-12-23T14:20:00.000000000,974.8,975.1,973.65,973.7,38666.0
2025-12-23T14:25:00.000000000,973.8,974.35,973.7,973.85,29744.0
2025-12-23T14:30:00.000000000,973.95,974.1,972.5,972.55,47623.0
2025-12-23T14:35:00.000000000,972.55,972.55,971.6,972.05,74614.0
2025-12-23T14:40:00.000000000,972.05,972.1,970.7,970.7,159240.0
2025-12-23T14:45:00.000000000,970.8,971.8,970.7,971.65,142617.0
2025-12-23T14:50:00.000000000,971.65,972.8,971.6,972.6,88759.0
2025-12-23T14:55:00.000000000,972.65,973.2,972.05,972.9,81504.0
2025-12-23T15:00:00.000000000,973.0,973.55,971.7,971.8,177319.0
2025-12-23T15:05:00.000000000,971.75,972.7,971.4,971.55,353219.0
2025-12-23T15:10:00.000000000,971.8,972.25,971.3,972.15,187223.0
2025-12-23T15:15:00.000000000,971.9,972.3,971.35,972.05,322513.0
2025-12-23T15:20:00.000000000,972.05,972.2,971.7,971.9,136791.0
2025-12-23T15:25:00.000000000,971.9,972.15,971.25,971.25,149892.0
2025-12-24T09:15:00.000000000,975.95,976.9,972.7,974.7,130680.0
2025-12-24T09:20:00.000000000,974.65,975.25,974.2,975.05,53030.0
2025-12-24T09:25:00.000000000,975.1,975.85,975.0,975.6,37070.0
2025-12-24T09:30:00.000000000,975.65,976.0,975.3,975.7,47852.0
2025-12-24T09:35:00.000000000,975.35,975.7,974.4,974.6,22999.0
2025-12-24T09:40:00.000000000,974.6,974.9,974.15,974.35,26602.0
2025-12-24T09:45:00.000000000,974.35,974.5,973.1,973.55,50462.0
2025-12-24T09:50:00.000000000,973.55,974.7,973.55,974.25,84076.0
2025-12-24T09:55:00.000000000,974.25,974.3,973.25,974.1,29266.0
